Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-1,0,0,10000,1,22,0.05032641,0.0006784,0.01795165,0.00010577,8721.51745,14505741.2,978,0,10000,0,10000,1,0.840242,0,10000,0,0
-1,0,0,10000,1,23,0.05408017,0.00129255,0.02092583,0.00037093,8585.2333,15517774.3,977,0,10000,0,10000,1,0.755895,0,10000,0,0
-1,0,0,10000,1,27,0.0489207,0.00122565,0.01818562,0.00031564,9210.83695,21473139.6,973,0,10000,0,10000,1,0.827203,0,10000,0,0
-1,0,1,251,1,25,0.05235363,0.00090763,0.02044962,0.00022396,9056.55708,27878615.3,223,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,23,0.04907736,0.00068135,0.01776291,0.00015309,8775.82117,14872284.7,977,0,10000,0,10000,1,0.764438,0,10000,0,0
-1,0,1,42,1,22,0.17350573,0.01319441,0.07860481,0.00265641,2505.76923,859820.947,17,0,10000,0,10000,0,10000,0,10000,0,0
-1,0,0,10000,1,23,0.04704243,0.00052715,0.01501031,5.35E-05,9508.35046,13111706.4,977,0,10000,0,10000,1,0.847846,0,10000,0,0
-1,0,0,10000,1,23,0.04850912,0.00108886,0.01734887,0.00023508,9030.44399,12609821.3,977,0,10000,0,10000,1,0.783249,0,10000,0,0
-1,0,0,10000,1,23,0.04983107,0.00065363,0.01757936,8.48E-05,9228.02775,17457899,977,0,10000,0,10000,1,0.794322,0,10000,0,0
-1,0,0,10000,1,25,0.04766513,0.00050229,0.0170164,0.0001098,9522.87539,17184345.1,975,0,10000,0,10000,1,0.850818,0,10000,0,0
-1,0,0,10000,1,24,0.04607931,0.00046462,0.01578283,7.50E-05,9700.62037,16255052.1,976,0,10000,0,10000,1,0.691106,0,10000,0,0
-1,0,0,10000,1,27,0.0467162,0.0010293,0.01714886,0.00042338,9096.6388,13700120.3,973,0,10000,0,10000,1,0.86009,0,10000,0,0
-1,0,0,10000,1,22,0.04585303,0.00056136,0.01619069,7.23E-05,9370.95688,18074637.9,978,0,10000,0,10000,1,0.860175,0,10000,0,0
-1,0,0,10000,1,22,0.05170219,0.00080482,0.01885809,0.00015837,8939.32136,16026556.7,978,0,10000,0,10000,1,0.834939,0,10000,0,0
-1,0,0,10000,1,23,0.04837437,0.00055648,0.01753251,0.0001355,9585.18911,25553533.8,977,0,10000,0,10000,1,0.886142,0,10000,0,0
-0.9,0,0,10000,1,22,0.04856548,0.00053946,0.01697564,8.64E-05,9413.5575,15190251.2,978,0,10000,0,10000,1,0.76381,0,10000,0,0
-0.9,0,0,10000,1,24,0.05288399,0.00106411,0.01938743,0.00027076,9083.2572,15540059.1,976,0,10000,0,10000,1,0.679607,0,10000,0,0
-0.9,0,0,10000,1,26,0.05155964,0.00122087,0.01864052,0.00044452,9609.81443,27070286.1,974,0,10000,0,10000,1,0.795858,0,10000,0,0
-0.9,0,0,10000,1,26,0.05125918,0.0007332,0.01832502,0.0001097,9248.65876,21272194,974,0,10000,0,10000,1,0.789547,0,10000,0,0
-0.9,0,0,10000,1,22,0.04362961,0.0005114,0.01550786,6.47E-05,9027.51643,15689087.6,978,0,10000,0,10000,1,0.833664,0,10000,0,0
-0.9,0,0,10000,1,22,0.04718365,0.00054341,0.01594497,5.07E-05,9197.13039,13754530.4,978,0,10000,0,10000,1,0.876117,0,10000,0,0
-0.9,0,0,10000,1,23,0.04745738,0.00060584,0.01607999,6.15E-05,9337.20247,14007203.7,977,0,10000,0,10000,1,0.682248,0,10000,0,0
-0.9,0,0,10000,1,22,0.04733346,0.00067436,0.01582226,8.21E-05,9191.27515,13640675.5,978,0,10000,0,10000,1,0.691768,0,10000,0,0
-0.9,0,0,10000,1,27,0.04984852,0.00076607,0.01755716,0.00015957,9114.88029,14517521.5,973,0,10000,0,10000,1,0.901077,0,10000,0,0
-0.9,0,0,10000,1,22,0.05360167,0.00181156,0.02012587,0.00068968,8962.71869,16872189,978,0,10000,0,10000,1,0.492835,0,10000,0,0
-0.9,0,0,10000,1,22,0.04605775,0.00049208,0.01523257,5.55E-05,9322.29877,12457283.2,978,0,10000,0,10000,1,0.865239,0,10000,0,0
-0.9,0,0,10000,1,25,0.04760219,0.00056588,0.0162807,8.37E-05,9721.89083,16594495.8,975,0,10000,0,10000,1,0.845806,0,10000,0,0
-0.9,0,0,10000,1,26,0.052184,0.00100691,0.01979563,0.00024108,8545.11753,12511747.9,974,0,10000,0,10000,1,0.772644,0,10000,0,0
-0.9,0,1,29,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-0.9,0,0,10000,1,21,0.05042595,0.0007023,0.01865814,0.00015104,8847.04205,15091575,979,0,10000,0,10000,1,0.533731,0,10000,0,0
-0.9,0,0,10000,1,22,0.04674142,0.0006232,0.01680924,8.79E-05,8888.00616,14035566.9,978,0,10000,0,10000,1,0.834133,0,10000,0,0
-0.9,0,0,10000,1,25,0.05766443,0.00139326,0.02199877,0.00032852,8417.11432,16323667,975,0,10000,0,10000,1,0.692578,0,10000,0,0
-0.9,0,0,10000,1,22,0.05144694,0.00086846,0.01779474,0.00014786,10016.2557,21965049.6,978,0,10000,0,10000,1,0.599714,0,10000,0,0
-0.9,0,0,10000,1,22,0.05411231,0.00095351,0.01910689,0.00017032,8942.41992,14648866.5,978,0,10000,0,10000,1,0.745529,0,10000,0,0
-0.9,0,0,10000,1,22,0.04772704,0.00050212,0.01593945,5.18E-05,9401.71047,16774682.8,978,0,10000,0,10000,1,0.80854,0,10000,0,0
-0.9,0,0,10000,1,28,0.05503723,0.00323621,0.02231382,0.00177267,8724.71074,15782394.7,972,0,10000,0,10000,1,0.864455,0,10000,0,0
-0.9,0,0,10000,1,24,0.05042525,0.00071611,0.01798556,0.00010787,8820.07305,17890512.2,976,0,10000,0,10000,1,0.713416,0,10000,0,0
-0.9,0,0,10000,1,22,0.05105597,0.00061473,0.01772071,8.21E-05,8913.84908,14603644.2,978,0,10000,0,10000,1,0.759277,0,10000,0,0
-0.9,0,0,10000,1,23,0.05295864,0.00122529,0.0187383,0.00024201,9186.43166,16760851,977,0,10000,0,10000,1,0.749027,0,10000,0,0
-0.9,0,0,10000,1,26,0.04716671,0.00059198,0.01703029,0.0001231,9597.83711,24219057.1,974,0,10000,0,10000,1,0.704464,0,10000,0,0
-0.9,0,0,10000,1,23,0.04723034,0.00056256,0.01577909,6.58E-05,9478.22097,13281994.7,977,0,10000,0,10000,1,0.83825,0,10000,0,0
-0.9,0,0,10000,1,24,0.05006228,0.00072576,0.0178406,0.00012014,9205.83025,17121208.3,976,0,10000,0,10000,1,0.699321,0,10000,0,0
-0.9,0,0,10000,1,24,0.05151513,0.00085876,0.01919654,0.0002232,9078.59774,19927123.1,976,0,10000,0,10000,1,0.766152,0,10000,0,0
-0.9,0,0,10000,1,27,0.05292628,0.00111925,0.01896914,0.00021174,9003.95253,17116205.7,973,0,10000,0,10000,1,0.855453,0,10000,0,0
-0.9,0,0,10000,1,24,0.04708327,0.00060075,0.0160339,7.91E-05,9358.9928,16805580.6,976,0,10000,0,10000,1,0.868006,0,10000,0,0
-0.9,0,0,10000,1,23,0.0483426,0.00055783,0.01620994,6.68E-05,9538.11305,17053239.7,977,0,10000,0,10000,1,0.841371,0,10000,0,0
-0.9,0,0,10000,1,21,0.04937904,0.00063675,0.01716814,0.00011995,9206.80718,16621645.9,979,0,10000,0,10000,1,0.787885,0,10000,0,0
-0.9,0,0,10000,1,26,0.04616438,0.00051412,0.01548927,7.27E-05,9622.9866,17176040.2,974,0,10000,0,10000,1,0.573083,0,10000,0,0
-0.9,0,0,10000,1,24,0.04534738,0.00081736,0.01652817,0.00015211,8932.74897,15106288.1,976,0,10000,0,10000,1,0.845217,0,10000,0,0
-0.9,0,0,10000,1,23,0.04973016,0.00073941,0.0179809,0.00012585,8815.09866,12695445.5,977,0,10000,0,10000,1,0.676209,0,10000,0,0
-0.9,0,0,10000,1,24,0.046445,0.00048644,0.01598835,5.73E-05,8921.34774,14075972,976,0,10000,0,10000,1,0.717434,0,10000,0,0
-0.9,0,0,10000,1,25,0.04912069,0.00068291,0.01733072,0.00010597,9334.3656,17497529.7,975,0,10000,0,10000,1,0.846206,0,10000,0,0
-0.9,0,0,10000,1,25,0.04638243,0.00060059,0.01630406,7.92E-05,8833.18023,11818908.6,975,0,10000,0,10000,1,0.698274,0,10000,0,0
-0.9,0,0,10000,1,23,0.0485753,0.00062049,0.01749732,0.00010757,9208.6259,18994208.1,977,0,10000,0,10000,1,0.625434,0,10000,0,0
-0.9,0,0,10000,1,26,0.05073889,0.0007569,0.01688264,7.70E-05,9447.4299,19082874.8,974,0,10000,0,10000,1,0.756888,0,10000,0,0
-0.9,0,0,10000,1,22,0.0575431,0.00095304,0.02051335,0.00021641,9236.38501,15755585.1,978,0,10000,0,10000,1,0.853577,0,10000,0,0
-0.9,0,0,10000,1,23,0.05025492,0.00077004,0.01842582,0.00016392,9297.04933,20652182,977,0,10000,0,10000,1,0.881899,0,10000,0,0
-0.9,0,0,10000,1,23,0.0594953,0.0013538,0.02338615,0.00048396,8408.37205,16546753.9,977,0,10000,0,10000,1,0.836991,0,10000,0,0
-0.9,0,0,10000,1,26,0.0468348,0.00065572,0.01602866,7.61E-05,9488.11546,14094853.8,974,0,10000,0,10000,1,0.58177,0,10000,0,0
-0.9,0,0,10000,1,24,0.05013136,0.00065289,0.01650862,6.43E-05,9339.39712,12423775.2,976,0,10000,0,10000,1,0.664485,0,10000,0,0
-0.9,0,1,40,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
-0.9,0,0,10000,1,22,0.05204928,0.0008551,0.01884727,0.00014154,9330.77618,19627440,978,0,10000,0,10000,1,0.800687,0,10000,0,0
-0.9,0,1,159,1,22,0.0605475,0.00198328,0.02444809,0.00045136,7864.57252,20182002.7,135,0,10000,0,10000,0,10000,0,10000,0,0
-0.9,0,0,10000,1,25,0.04781281,0.00052198,0.015989,6.58E-05,9652.52008,15748879.6,975,0,10000,0,10000,1,0.759262,0,10000,0,0
-0.9,0,0,10000,1,25,0.05208926,0.0007651,0.01804713,9.98E-05,9443.93718,17890433,975,0,10000,0,10000,1,0.629704,0,10000,0,0
-0.9,0,0,10000,1,23,0.05307755,0.00090079,0.01972737,0.00022577,9405.17883,20896411,977,0,10000,0,10000,1,0.731843,0,10000,0,0
-0.9,0,1,469,1,24,0.04661474,0.00111727,0.01771207,0.00033701,8665.08201,15338108.6,444,0,10000,0,10000,0,10000,0,10000,0,0
-0.9,0,0,10000,1,27,0.04996321,0.00081277,0.01883341,0.00017137,8552.7193,15945412.1,973,0,10000,0,10000,1,0.758373,0,10000,0,0
-0.9,0,0,10000,1,24,0.04824587,0.0005219,0.01593232,6.37E-05,9038.63272,11225450.4,976,0,10000,0,10000,1,0.779286,0,10000,0,0
-0.9,0,0,10000,1,22,0.04563153,0.00060788,0.01605254,8.80E-05,9580.31725,18132419.6,978,0,10000,0,10000,1,0.693402,0,10000,0,0
-0.9,0,0,10000,1,23,0.04734807,0.0006258,0.01611527,7.74E-05,8975.10586,14694280.2,977,0,10000,0,10000,1,0.522389,0,10000,0,0
-0.9,0,0,10000,1,23,0.05109108,0.00065776,0.01739602,0.0001076,9161.71531,14151486.9,977,0,10000,0,10000,1,0.871367,0,10000,0,0
-0.9,0,0,10000,1,24,0.05161283,0.0007729,0.01856234,0.00013323,9231.88066,18575478.2,976,0,10000,0,10000,1,0.717688,0,10000,0,0
-0.9,0,0,10000,1,26,0.0491157,0.00057717,0.01683173,7.16E-05,9319.03608,15578853.7,974,0,10000,0,10000,1,0.755882,0,10000,0,0
-0.9,0,0,10000,1,25,0.05482985,0.0014484,0.0205412,0.00056389,8975.08548,16222250.7,975,0,10000,0,10000,1,0.823451,0,10000,0,0
-0.9,0,0,10000,1,22,0.04709035,0.000604,0.0159416,8.54E-05,9318.27515,14568366.9,978,0,10000,0,10000,1,0.467626,0,10000,0,0
-0.9,0,0,10000,1,23,0.04928297,0.00065982,0.01698503,9.14E-05,8826.90853,10759500.6,977,0,10000,0,10000,1,0.73846,0,10000,0,0
-0.9,0,0,10000,1,23,0.05083377,0.00062432,0.01814499,0.00010588,8897.17575,15620729.7,977,0,10000,0,10000,1,0.703545,0,10000,0,0
-0.9,0,1,204,1,25,0.06867165,0.00250425,0.02947787,0.00137584,8314.18966,21218294.2,178,0,10000,0,10000,0,10000,0,10000,0,0
-0.9,0,0,10000,1,26,0.04614855,0.00066444,0.01636978,8.76E-05,8688.02784,12379522.3,974,0,10000,0,10000,1,0.76781,0,10000,0,0
-0.9,0,0,10000,1,23,0.04397859,0.00043997,0.01542544,6.64E-05,9138.26208,12466195.2,977,0,10000,0,10000,1,0.74832,0,10000,0,0
