,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1688,4,0.01,0,10000,1,91,0.064473632,0.001553428,0.04265933,0.00056844,9217.531492,24284128.82,909,0,10000,0,10000,1,0.395968,0,10000,0,0
1689,4,0.01,0,10000,1,95,0.071476952,0.002887452,0.04944531,0.001634526,8889.148724,17202356.72,905,0,10000,0,10000,1,0.424653,0,10000,0,0
1690,4,0.01,0,10000,1,88,0.062058768,0.002110515,0.045393516,0.001253596,13108.60463,98320849.97,912,0,10000,0,10000,1,0.405151,0,10000,0,0
1691,4,0.01,0,10000,1,88,0.067071608,0.00229865,0.046159494,0.001182695,8375.683921,13849619.91,912,0,10000,0,10000,1,0.358297,0,10000,0,0
1692,4,0.01,0,10000,1,84,0.055926194,0.000581415,0.037696115,0.000282284,8972.480263,15659602.01,916,0,10000,0,10000,1,0.349401,0,10000,0,0
1693,4,0.01,1,108,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
1694,4,0.01,0,10000,1,80,0.05962773,0.002011033,0.040725206,0.00107752,9617.855895,14086503.29,920,0,10000,0,10000,1,0.215604,0,10000,0,0
1695,4,0.01,0,10000,1,87,0.050884639,0.000629927,0.034270174,0.000302696,11529.9549,39086448.87,913,0,10000,0,10000,1,0.280402,0,10000,0,0
1696,4,0.01,0,10000,1,90,0.067076617,0.002035679,0.046143841,0.001182992,8831.682119,15289077.75,910,0,10000,0,10000,1,0.334693,0,10000,0,0
1697,4,0.01,1,327,1,85,0.110057129,0.037722357,0.071988203,0.018027288,14726.80085,93830241.57,240,0,10000,0,10000,0,10000,0,10000,0,0
1698,4,0.01,0,10000,1,81,0.050614541,0.000550205,0.033999535,0.00025317,11591.82514,39603440.97,919,0,10000,0,10000,1,0.247108,0,10000,0,0
1699,4,0.01,0,10000,1,91,0.075915509,0.005577299,0.052665978,0.00269247,9400.21105,29298804.73,909,0,10000,0,10000,1,0.340095,0,10000,0,0
1700,4,0.01,0,10000,1,84,0.064433396,0.001441015,0.045307347,0.000806465,9238.720395,24853397.02,916,0,10000,0,10000,1,0.415587,0,10000,0,0
2101,4.5,0.01,1,241,1,97,0.180465052,0.032720202,0.116791515,0.013353313,4545.463235,3088325.543,140,0,10000,0,10000,0,10000,0,10000,0,0
2102,4.5,0.01,0,10000,1,93,0.046333924,0.000328515,0.03048764,0.000154071,11114.25471,16586538.03,907,0,10000,0,10000,1,0.327088,0,10000,0,0
2103,4.5,0.01,0,10000,1,74,0.040442407,0.000430074,0.026098803,0.000193797,13395.10412,19400153.26,926,0,10000,0,10000,1,0.42419,0,10000,0,0
2104,4.5,0.01,0,10000,1,78,0.059804476,0.00132468,0.040174777,0.000624633,9457.542484,14038672.72,922,0,10000,0,10000,1,0.49993,0,10000,0,0
2105,4.5,0.01,0,10000,1,80,0.049449017,0.000866405,0.031674802,0.000373056,11549.23362,17228480.76,920,0,10000,0,10000,1,0.312656,0,10000,0,0
2106,4.5,0.01,0,10000,1,83,0.056252273,0.000890835,0.037650532,0.000394008,9990.778751,21430929.37,917,0,10000,0,10000,1,0.375036,0,10000,0,0
2107,4.5,0.01,0,10000,1,82,0.057031116,0.000914397,0.037910978,0.000495498,9551.251641,12499549.93,918,0,10000,0,10000,1,0.431082,0,10000,0,0
2108,4.5,0.01,0,10000,1,86,0.069592312,0.003051751,0.047305674,0.00162372,9386.789011,20897383.39,914,0,10000,0,10000,1,0.403804,0,10000,0,0
2109,4.5,0.01,0,10000,1,82,0.057430183,0.000905703,0.038013697,0.000461537,9993.610503,15911347.99,918,0,10000,0,10000,1,0.317102,0,10000,0,0
2110,4.5,0.01,0,10000,1,88,0.052988499,0.000800267,0.03498254,0.000337106,11673.55727,35883318.11,912,0,10000,0,10000,1,0.429995,0,10000,0,0
2111,4.5,0.01,0,10000,1,90,0.044880112,0.00033057,0.029203279,0.000176779,11684.16336,14169129.32,910,0,10000,0,10000,1,0.479428,0,10000,0,0
2112,4.5,0.01,0,10000,1,86,0.057898529,0.001505949,0.0371266,0.000624459,9621.704396,14363432.79,914,0,10000,0,10000,1,0.452627,0,10000,0,0
2113,4.5,0.01,0,10000,1,83,0.040912837,0.00015246,0.026001104,5.72E-05,11610.21577,9142087.072,917,0,10000,0,10000,1,0.276742,0,10000,0,0
2114,4.5,0.01,0,10000,1,81,0.063365303,0.001536455,0.042340327,0.000846833,9618.471038,26178045.21,919,0,10000,0,10000,1,0.479095,0,10000,0,0
2115,4.5,0.01,1,619,1,80,0.050546781,0.002377549,0.032806188,0.001515267,11148.87713,13730054.4,533,0,10000,0,10000,0,10000,0,10000,0,0
2116,4.5,0.01,0,10000,1,85,0.060546336,0.001904303,0.041731089,0.001093038,10361.11636,22291187.12,915,0,10000,0,10000,1,0.509148,0,10000,0,0
2117,4.5,0.01,0,10000,1,95,0.047239171,0.00072602,0.031569182,0.000328202,12195.51276,36717120,905,0,10000,0,10000,1,0.338009,0,10000,0,0
2118,4.5,0.01,0,10000,1,76,0.059299425,0.001970199,0.040254115,0.001038463,11229.90978,27689548.22,924,0,10000,0,10000,1,0.37706,0,10000,0,0
2119,4.5,0.01,0,10000,1,88,0.06147574,0.0012447,0.040499372,0.000551347,9863.506608,21856378.93,912,0,10000,0,10000,1,0.349854,0,10000,0,0
2120,4.5,0.01,0,10000,1,79,0.044835616,0.000375666,0.030034508,0.000157994,12815.69357,38764125.77,921,0,10000,0,10000,1,0.376963,0,10000,0,0
2521,5,0.01,0,10000,1,86,0.054775223,0.001287534,0.035021326,0.000617667,11005.52088,18712658.59,914,0,10000,0,10000,1,0.493659,0,10000,0,0
2522,5,0.01,0,10000,1,83,0.046594955,0.000658882,0.029934616,0.000262732,12541.43483,27628733.23,917,0,10000,0,10000,1,0.325344,0,10000,0,0
