,Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
2112,0.85,0.8,0,10000,1,22,0.0158335,8.17E-05,0.006354635,7.86E-06,8891.982546,4328690.775,978,0,10000,0,10000,1,0.761517,0,10000,0,0
2113,0.85,0.8,0,10000,1,23,0.015155969,6.01E-05,0.00625965,7.24E-06,8678.24666,4339551.246,977,0,10000,0,10000,1,0.791092,0,10000,0,0
2114,0.85,0.8,0,10000,1,21,0.015958405,0.000112554,0.00642065,1.26E-05,8893.061538,4610960.61,979,0,10000,0,10000,1,0.779255,0,10000,0,0
2115,0.85,0.8,0,10000,1,23,0.014761557,5.77E-05,0.006107698,6.86E-06,8709.43371,3744739.915,977,0,10000,0,10000,1,0.771277,0,10000,0,0
2116,0.85,0.8,0,10000,1,24,0.015712045,9.98E-05,0.005984143,7.02E-06,9074.786008,3522953.734,976,0,10000,0,10000,1,0.770443,0,10000,0,0
2117,0.85,0.8,0,10000,1,23,0.015507261,9.30E-05,0.00603712,8.58E-06,9030.078109,3948373.295,977,0,10000,0,10000,1,0.790123,0,10000,0,0
2118,0.85,0.8,0,10000,1,22,0.015325009,8.18E-05,0.006270567,7.96E-06,8777.563655,4001626.082,978,0,10000,0,10000,1,0.803225,0,10000,0,0
2119,0.85,0.8,0,10000,1,23,0.016399358,9.78E-05,0.00649512,8.04E-06,8814.215827,4646821.213,977,0,10000,0,10000,1,0.791743,0,10000,0,0
2120,0.85,0.8,0,10000,1,24,0.015683064,7.72E-05,0.006279493,7.14E-06,8865.209877,5386154.339,976,0,10000,0,10000,1,0.765388,0,10000,0,0
2521,0.86,0.8,0,10000,1,23,0.016484887,9.46E-05,0.006599415,9.44E-06,8705.873587,4426916.519,977,0,10000,0,10000,1,0.819609,0,10000,0,0
2522,0.86,0.8,0,10000,1,21,0.017030581,9.26E-05,0.006630671,6.81E-06,8670.871795,3666235.531,979,0,10000,0,10000,1,0.814627,0,10000,0,0
2523,0.86,0.8,0,10000,1,22,0.016933781,0.000106935,0.006845055,1.21E-05,8799.566735,6094073.102,978,0,10000,0,10000,1,0.795886,0,10000,0,0
2524,0.86,0.8,0,10000,1,22,0.017618466,0.000122402,0.007037328,1.27E-05,8708.986653,4498115.808,978,0,10000,0,10000,1,0.797363,0,10000,0,0
2525,0.86,0.8,0,10000,1,22,0.018121503,0.000104475,0.007171273,1.26E-05,8816.406571,4816022.59,978,0,10000,0,10000,1,0.861248,0,10000,0,0
2526,0.86,0.8,0,10000,1,23,0.016108405,7.80E-05,0.00655131,7.30E-06,8427.916752,4140922.691,977,0,10000,0,10000,1,0.785938,0,10000,0,0
2527,0.86,0.8,0,10000,1,23,0.016949409,7.97E-05,0.00689048,9.42E-06,8689.780062,5308617.874,977,0,10000,0,10000,1,0.813306,0,10000,0,0
2528,0.86,0.8,0,10000,1,23,0.016605631,9.69E-05,0.006766162,1.16E-05,8879.410072,6558455.736,977,0,10000,0,10000,1,0.801848,0,10000,0,0
2529,0.86,0.8,0,10000,1,24,0.018420211,0.00011818,0.007190663,1.14E-05,8651.424897,4683124.598,976,0,10000,0,10000,1,0.750313,0,10000,0,0
2530,0.86,0.8,0,10000,1,23,0.016879265,0.000116646,0.00663545,1.08E-05,8567.897225,3640265.665,977,0,10000,0,10000,1,0.622962,0,10000,0,0
2531,0.86,0.8,0,10000,1,24,0.017947419,0.000126417,0.006816439,9.09E-06,8875.373457,5428307.975,976,0,10000,0,10000,1,0.803815,0,10000,0,0
2532,0.86,0.8,0,10000,1,22,0.014940646,8.50E-05,0.005863183,7.82E-06,8775.082136,5330740.494,978,0,10000,0,10000,1,0.755292,0,10000,0,0
2533,0.86,0.8,0,10000,1,23,0.01704921,0.000105824,0.006550316,7.58E-06,8849.611511,4163798.801,977,0,10000,0,10000,1,0.793373,0,10000,0,0
2534,0.86,0.8,0,10000,1,22,0.016989406,0.000112114,0.006863546,1.14E-05,8694.806982,5054414.215,978,0,10000,0,10000,1,0.834855,0,10000,0,0
2535,0.86,0.8,0,10000,1,23,0.015691486,8.15E-05,0.006358817,9.34E-06,8875.312436,5137810.85,977,0,10000,0,10000,1,0.628937,0,10000,0,0
2536,0.86,0.8,0,10000,1,22,0.014711587,5.89E-05,0.006121313,7.28E-06,8474.394251,4144325.307,978,0,10000,0,10000,1,0.840978,0,10000,0,0
2537,0.86,0.8,0,10000,1,21,0.01584901,8.68E-05,0.006213689,7.98E-06,8910.771282,4531330.178,979,0,10000,0,10000,1,0.804231,0,10000,0,0
2538,0.86,0.8,0,10000,1,22,0.017722002,0.000113934,0.007075098,1.27E-05,8852.123203,6389434.506,978,0,10000,0,10000,1,0.736374,0,10000,0,0
2539,0.86,0.8,0,10000,1,23,0.015583204,8.36E-05,0.006358626,7.15E-06,8393.757451,3453441.261,977,0,10000,0,10000,1,0.818231,0,10000,0,0
2540,0.86,0.8,0,10000,1,23,0.015355396,7.55E-05,0.00610249,7.48E-06,8786.264132,4142129.643,977,0,10000,0,10000,1,0.754597,0,10000,0,0
2941,0.87,0.8,0,10000,1,23,0.017998241,0.000111264,0.007116846,9.38E-06,8539.459404,4739463.447,977,0,10000,0,10000,1,0.835437,0,10000,0,0
2942,0.87,0.8,0,10000,1,23,0.021216201,0.000168495,0.008362761,1.81E-05,8278.040082,4595919.467,977,0,10000,0,10000,1,0.738545,0,10000,0,0
2943,0.87,0.8,0,10000,1,23,0.017542124,0.000116653,0.007276561,1.35E-05,8373.423433,4674534.791,977,0,10000,0,10000,1,0.823529,0,10000,0,0
2944,0.87,0.8,0,10000,1,24,0.018044123,0.00014458,0.006965609,1.62E-05,8796.917695,5406950.438,976,0,10000,0,10000,1,0.776088,0,10000,0,0
2945,0.87,0.8,0,10000,1,22,0.017158629,8.79E-05,0.007128296,1.13E-05,8379.826489,4432053.168,978,0,10000,0,10000,1,0.766284,0,10000,0,0
2946,0.87,0.8,0,10000,1,21,0.018348754,0.000101904,0.007222425,1.16E-05,8611.293333,5735513.532,979,0,10000,0,10000,1,0.715141,0,10000,0,0
2947,0.87,0.8,0,10000,1,24,0.016998119,8.13E-05,0.006847481,7.99E-06,8475.578189,4134830.764,976,0,10000,0,10000,1,0.824997,0,10000,0,0
2948,0.87,0.8,0,10000,1,24,0.017309561,9.97E-05,0.006957048,1.19E-05,8638.972222,5252619.603,976,0,10000,0,10000,1,0.67602,0,10000,0,0
2949,0.87,0.8,0,10000,1,21,0.020138204,0.000117983,0.007678175,1.14E-05,8665.504615,4870674.976,979,0,10000,0,10000,1,0.812514,0,10000,0,0
2950,0.87,0.8,0,10000,1,23,0.018579756,0.000129332,0.007093726,1.11E-05,8778.946557,4387379.835,977,0,10000,0,10000,1,0.707998,0,10000,0,0
2951,0.87,0.8,0,10000,1,23,0.017277853,9.73E-05,0.007055698,1.11E-05,8618.894142,4928351.523,977,0,10000,0,10000,1,0.803377,0,10000,0,0
2952,0.87,0.8,0,10000,1,22,0.0162413,8.43E-05,0.00661006,7.60E-06,8407.644764,3557191.258,978,0,10000,0,10000,1,0.773484,0,10000,0,0
