Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
40000,0,10000,1,22,0.070111406,0.001819316,3093.647844,15661922.97,978,0,10000,0,10000,1,0.875387
40000,0,10000,1,26,0.084047615,0.003541409,2229.566327,5555683.45,200,1,226,0,10000,0,10000
40000,1,68,1,22,0.06458192,0.001217508,1498.121951,753906.3998,45,0,10000,0,10000,0,10000
40000,1,604,1,24,0.07628461,0.004028615,2297.839721,6468296.473,578,0,10000,0,10000,0,10000
40000,1,53,1,28,0.205290705,0.011683662,172.85,9881.2275,24,0,10000,0,10000,0,10000
40000,1,354,1,25,0.075982808,0.004170428,2358.858025,7802933.393,328,0,10000,0,10000,0,10000
40000,1,499,1,23,0.079883435,0.004219244,2385.800425,5950601.391,475,0,10000,0,10000,0,10000
40000,1,888,1,23,0.073906301,0.002611456,2349.418605,5342162.86,864,0,10000,0,10000,0,10000
40000,1,202,1,28,0.07740619,0.001962301,1800.916667,4154423.291,172,0,10000,0,10000,0,10000
40000,0,10000,1,22,0.083722211,0.005211556,2040.452772,5938473.605,978,0,10000,0,10000,1,0.821581
40000,1,315,1,24,0.084506894,0.005135584,2201.874126,5223488.718,290,0,10000,0,10000,0,10000
40000,1,88,1,24,0.114114602,0.015769012,1536.372881,1461827.047,63,0,10000,0,10000,0,10000
40000,1,428,1,23,0.096608704,0.005839942,1716.010025,4092345.469,403,0,10000,0,10000,0,10000
40000,1,32,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
40000,1,319,1,22,0.0777902,0.003695008,1617.280822,1658051.805,296,0,10000,0,10000,0,10000
40000,1,369,1,24,0.060681989,0.00074486,2480.567647,6005071.504,344,0,10000,0,10000,0,10000
40000,0,10000,1,26,0.069767141,0.002168782,3453.10219,25445306.33,552,1,578,0,10000,0,10000
40000,0,10000,1,25,0.074119304,0.002384236,2217.881565,4379540.778,975,0,10000,0,10000,1,0.71791
40000,1,423,1,21,0.081129349,0.004724882,2603.214106,7547377.765,401,0,10000,0,10000,0,10000
50000,1,633,1,25,0.107140297,0.006655805,2211.92869,7983640.063,607,0,10000,0,10000,0,10000
50000,1,972,1,27,0.080006286,0.002172492,2613.665602,12675818.63,943,0,10000,0,10000,0,10000
50000,1,334,1,23,0.077822449,0.001317027,2698.990196,5793318.768,310,0,10000,0,10000,0,10000
50000,1,204,1,23,0.109806607,0.016334883,1966.517045,2225616.636,180,0,10000,0,10000,0,10000
50000,1,82,1,23,0.059404507,0.001756546,1506.018519,786764.9441,58,0,10000,0,10000,0,10000
50000,1,116,1,22,0.055887246,0.000636874,2648.595506,3299919.634,93,0,10000,0,10000,0,10000
50000,1,55,1,22,0.114681389,0.013173991,1227.107143,853684.9528,32,0,10000,0,10000,0,10000
