Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
60000,1,397,1,23,0.097098767,0.003631431,2114.346883,7486542.178,373,0,10000,0,10000,0,10000
60000,1,36,1,28,0.362328667,0.006479466,59,116.6666667,7,0,10000,0,10000,0,10000
60000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,198,1,24,0.121558593,0.005887139,1365.166667,4151032.139,173,0,10000,0,10000,0,10000
60000,1,31,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,152,1,26,0.086007355,0.002349277,2542.134454,13223327.34,123,0,10000,0,10000,0,10000
70000,1,203,1,29,0.092941759,0.003957339,3841.751479,32556972.85,173,0,10000,0,10000,0,10000
70000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,79,1,24,0.131790384,0.012810929,1583.34,4785423.144,54,0,10000,0,10000,0,10000
70000,1,150,1,25,0.107273207,0.003307574,2627.067227,19435078.38,123,0,10000,0,10000,0,10000
70000,1,109,1,24,0.125669131,0.003477614,1232.6375,1582543.881,84,0,10000,0,10000,0,10000
70000,1,78,1,24,0.08362144,0.003462846,1663.833333,2516899.514,52,0,10000,0,10000,0,10000
70000,1,54,1,26,0.1829229,0.012616249,189.9090909,23435.90083,26,0,10000,0,10000,0,10000
70000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,111,1,26,0.179583126,0.016510058,945.25,989470.9875,84,0,10000,0,10000,0,10000
70000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,51,1,23,0.071390274,0.00071117,4254.695652,13590430.65,27,0,10000,0,10000,0,10000
70000,1,32,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,268,1,25,0.126629862,0.01513867,2226.563025,18413899.94,242,0,10000,0,10000,0,10000
70000,1,122,1,28,0.137303939,0.007880817,1268.741573,1372213.315,93,0,10000,0,10000,0,10000
70000,1,50,1,26,0.150355656,0.008409542,283.0555556,45858.05247,22,0,10000,0,10000,0,10000
70000,1,79,1,24,0.215456418,0.041971163,2381.88,8447669.506,54,0,10000,0,10000,0,10000
70000,1,54,1,26,0.354377957,0.060956766,310.8695652,126934.983,27,0,10000,0,10000,0,10000
70000,1,34,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
70000,1,99,1,26,0.094584834,0.002525982,2074.720588,3340561.995,72,0,10000,0,10000,0,10000
80000,1,51,1,23,0.087164564,0.001260332,1886.5,3774693.341,26,0,10000,0,10000,0,10000
80000,1,87,1,23,0.117062773,0.006592809,1600.220339,1768548.68,63,0,10000,0,10000,0,10000
80000,1,367,1,26,0.090373817,0.002531984,2292.597015,5696179.5,339,0,10000,0,10000,0,10000
80000,1,40,1,28,0.305253571,0.018960948,173.7142857,30699.34694,11,0,10000,0,10000,0,10000
80000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,449,1,24,0.103406918,0.0048307,3631.090692,29130438.86,423,0,10000,0,10000,0,10000
80000,1,58,1,29,0.197187304,0.008226728,2410.26087,2053706.802,27,0,10000,0,10000,0,10000
80000,1,79,1,25,0.101296676,0.014997903,8834.77551,113694206.3,53,0,10000,0,10000,0,10000
80000,1,96,1,24,0.125482916,0.004132797,867.8656716,615677.2208,71,0,10000,0,10000,0,10000
80000,1,149,1,24,0.114090313,0.012126024,2470.4,20295922.16,124,0,10000,0,10000,0,10000
80000,1,74,1,28,0.213747007,0.012915916,321.4634146,199844.0535,45,0,10000,0,10000,0,10000
80000,1,89,1,28,0.244751447,0.03204401,447.0909091,214340.8463,59,0,10000,0,10000,0,10000
80000,1,262,1,27,0.104861149,0.003999877,2653.641921,7532513.042,233,0,10000,0,10000,0,10000
80000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,103,1,27,0.120727744,0.002712558,2428.887324,11027135.68,75,0,10000,0,10000,0,10000
80000,1,99,1,23,0.108873316,0.002894765,1228.571429,1117211.588,74,0,10000,0,10000,0,10000
80000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
80000,1,194,1,28,0.085338176,0.001671869,2496.44375,7753844.772,164,0,10000,0,10000,0,10000
90000,1,286,1,27,0.104150743,0.006142324,3674.811024,32748763.9,258,0,10000,0,10000,0,10000
90000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,33,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,161,1,26,0.122151278,0.005955033,2531.315385,12356953.22,134,0,10000,0,10000,0,10000
90000,1,33,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,187,1,24,0.085536454,0.003840132,2246.094937,7529325.276,162,0,10000,0,10000,0,10000
90000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,82,1,23,0.08233537,0.004088432,2247.981481,4258719.055,58,0,10000,0,10000,0,10000
90000,1,229,1,23,0.113900912,0.007297949,2742.955224,11571227.38,205,0,10000,0,10000,0,10000
90000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,64,1,24,0.11023376,0.004402702,2013.142857,5258059.608,39,0,10000,0,10000,0,10000
90000,1,261,1,24,0.118026294,0.005689863,3974.159483,42536191.78,236,0,10000,0,10000,0,10000
90000,1,163,1,27,0.169278218,0.011786913,889.8473282,1203917.702,135,0,10000,0,10000,0,10000
