Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
120000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,66,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,76,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,102,1,57,0.269711842,0.025710271,1953.052632,1739315.26,42,0,10000,0,10000,0,10000
130000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,108,1,58,0.096371716,0.007005501,18553.66667,168617972,49,0,10000,0,10000,0,10000
130000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,66,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,80,1,62,0.329929417,0.016000392,302.1666667,17029.13889,17,0,10000,0,10000,0,10000
130000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
