"","R1 Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase","ResWithChase","ResWithoutChase"
"108",1e-06,0,10000,1,25,0.079916587,0.002580618,0.035649241,0.000738228,6525.044284,15557616.35,975,0,10000,0,10000,1,0.868534,0,10000,0,0,0,0
"109",1e-06,1,882,1,24,0.077095756,0.002331923,0.032322118,0.00062081,7493.856639,21320751.34,855,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"110",1e-06,1,650,1,23,0.074624727,0.002211582,0.03477677,0.000953514,7317.267311,26500659.32,625,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"111",1e-06,1,159,1,23,0.085174978,0.00599599,0.047777018,0.004894432,7376.069767,44799619.93,133,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"112",1e-06,1,671,1,29,0.072354711,0.00236162,0.032976214,0.000880451,7957.612598,37527600.25,639,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"113",1e-06,1,43,1,27,0.216616,0.009527731,0.125243122,0.002350003,1190,240061.1111,13,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"114",1e-06,1,266,1,26,0.093102105,0.010034245,0.053942923,0.007338184,7173.815451,39560700.45,237,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"115",1e-06,1,888,1,23,0.092276699,0.006286768,0.046035711,0.002734951,6374.773893,16863009.44,862,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"116",1e-06,1,57,1,24,0.1852382,0.038330711,0.08667985,0.005377811,2982.607143,4645213.096,32,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"117",1e-06,1,35,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"118",1e-06,1,142,1,24,0.075598495,0.001864094,0.033213887,0.000491631,6103.747748,13402422.98,115,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"119",1e-06,1,330,1,28,0.079033965,0.003751867,0.034434441,0.000721098,7626.037162,24846827.12,300,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"120",1e-06,1,31,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"121",1e-06,1,215,1,24,0.075480651,0.002478873,0.033315463,0.001089707,9697.387097,41044937.02,190,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"122",1e-06,1,668,1,24,0.072572346,0.002049592,0.030589122,0.000565585,8207.524333,34759970.58,641,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"123",1e-06,1,134,1,23,0.094768333,0.013214755,0.043307079,0.003046279,5762.104762,16505423.83,109,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"124",1e-06,1,274,1,23,0.068257269,0.000868849,0.027896598,0.000310809,6917.020408,13344300.57,249,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"125",1e-06,1,64,1,25,0.217681742,0.020030445,0.124506897,0.003674808,1051.032258,102844.2248,35,0,10000,0,10000,0,10000,0,10000,0,0,0,0
