,R1 Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase,ResWithChase,ResWithoutChase
82,0,1,265,1,21,0.05272278,0.00096842,0.02601243,0.000345497,10621.98729,60200600.05,240,0,10000,0,10000,0,10000,0,10000,0,0,0,0
83,0,1,500,1,19,0.058995828,0.001106499,0.027684052,0.000291256,10106.38737,46160729.41,479,0,10000,0,10000,0,10000,0,10000,0,0,0,0
84,0,1,159,1,22,0.06829738,0.000976837,0.033398055,0.000260732,7496.19084,23419075.59,135,0,10000,0,10000,0,10000,0,10000,0,0,0,0
85,0,1,239,1,20,0.069391381,0.002216073,0.033742779,0.000561199,9724.5,51898890.59,216,0,10000,0,10000,0,10000,0,10000,0,0,0,0
86,0,1,294,1,21,0.085169926,0.010053093,0.047318778,0.004455323,8424.708955,37133486.76,272,0,10000,0,10000,0,10000,0,10000,0,0,0,0
87,0,0,10000,1,22,0.060890668,0.001455859,0.029826682,0.000476514,10324.43527,55381985.82,537,1,559,0,10000,0,10000,0,10000,1,0,0,0
88,0,1,72,1,23,0.090389749,0.002936379,0.046193432,0.001019159,8209.883721,61892406.15,47,0,10000,0,10000,0,10000,0,10000,0,0,0,0
89,0,0,10000,1,20,0.068615798,0.000806656,0.037111213,0.000345712,5374.395833,7547803.489,52,1,72,0,10000,0,10000,0,10000,1,0,0,0
90,0,0,10000,1,22,0.062643999,0.001725589,0.030718124,0.000618018,9094.373961,41489678.28,726,1,748,0,10000,0,10000,0,10000,1,0,0,0
91,0,1,346,1,24,0.057337448,0.001403643,0.027805299,0.000445924,11993.52215,102084361.7,320,0,10000,0,10000,0,10000,0,10000,0,0,0,0
92,0,1,653,1,20,0.066484763,0.002969968,0.035058698,0.001048565,10289.67412,86925632.05,630,0,10000,0,10000,0,10000,0,10000,0,0,0,0
93,0,1,30,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
94,0,0,10000,1,20,0.056522537,0.001048286,0.02737421,0.000333995,10908.04713,60796278.41,980,0,10000,0,10000,1,0.602641,0,10000,0,0,0,0
95,0,1,290,1,24,0.053532678,0.001732156,0.027340328,0.000518914,13882.75676,126683443.1,263,0,10000,0,10000,0,10000,0,10000,0,0,0,0
96,0,1,434,1,19,0.063333282,0.001485237,0.031610649,0.000509339,8736.259804,36850684.83,412,0,10000,0,10000,0,10000,0,10000,0,0,0,0
97,0,0,10000,1,21,0.079327257,0.004059418,0.033712934,0.000509784,6727.481481,12739182.58,58,1,79,0,10000,0,10000,0,10000,1,0,0,0
98,0,1,204,1,20,0.073075949,0.004670593,0.036352641,0.001465612,8131.022599,20317352.52,181,0,10000,0,10000,0,10000,0,10000,0,0,0,0
99,0,0,10000,1,21,0.059715749,0.002048546,0.029244466,0.000652325,10474.04638,56034257.02,349,1,370,0,10000,0,10000,0,10000,1,0,0,0
100,0,1,126,1,24,0.074006507,0.003500508,0.03826164,0.000952586,6397.263158,16024191.16,99,0,10000,0,10000,0,10000,0,10000,0,0,0,0
101,1.00E-06,1,257,1,20,0.057430211,0.002341537,0.029397271,0.001278253,11898.33333,67290545,235,0,10000,0,10000,0,10000,0,10000,0,0,0,0
102,1.00E-06,0,10000,1,23,0.109698894,0.008830451,0.056311963,0.002649988,9210.875,40431051.73,20,1,43,0,10000,0,10000,0,10000,1,0,0,0
103,1.00E-06,1,350,1,21,0.088462755,0.006632179,0.051850783,0.002927365,8382.334365,66961628.14,327,0,10000,0,10000,0,10000,0,10000,0,0,0,0
104,1.00E-06,0,10000,1,21,0.070680285,0.003667799,0.036327181,0.001296551,9736.440722,70785935.13,392,1,413,0,10000,0,10000,0,10000,1,0,0,0
105,1.00E-06,0,10000,1,23,0.06089649,0.002344469,0.030727626,0.000808419,11154.50462,76157095.16,977,0,10000,0,10000,1,0.813189,0,10000,0,0,0,0
106,1.00E-06,0,10000,1,23,0.061545938,0.001438266,0.030670232,0.000547069,9072.654854,37895607.09,653,1,676,0,10000,0,10000,0,10000,1,0,0,0
107,1.00E-06,1,253,1,23,0.057865636,0.001545392,0.027342202,0.000454278,11123.32444,43426564.14,229,0,10000,0,10000,0,10000,0,10000,0,0,0,0
108,1.00E-06,0,10000,1,21,0.071436956,0.002820084,0.036388654,0.001510576,8371.172414,39923864.72,236,1,257,0,10000,0,10000,0,10000,1,0,0,0
109,1.00E-06,0,10000,1,20,0.060039425,0.001865748,0.030188715,0.000556071,11127.70799,71759289.7,980,0,10000,0,10000,1,0.150501,0,10000,0,0,0,0
110,1.00E-06,1,126,1,21,0.063228416,0.001689637,0.028587766,0.000381849,9341.494949,40571929.28,103,0,10000,0,10000,0,10000,0,10000,0,0,0,0
111,1.00E-06,1,438,1,24,0.068595176,0.002945238,0.033938375,0.000872599,9448.041769,50677076.44,411,0,10000,0,10000,0,10000,0,10000,0,0,0,0
112,1.00E-06,1,77,1,23,0.100089888,0.008010643,0.053911429,0.003796794,5705.875,19992574.57,52,0,10000,0,10000,0,10000,0,10000,0,0,0,0
113,1.00E-06,1,660,1,28,0.07491749,0.003260327,0.037466462,0.001192339,7940.5296,34871805.12,629,0,10000,0,10000,0,10000,0,10000,0,0,0,0
114,1.00E-06,1,782,1,22,0.06448671,0.005040295,0.032258936,0.002144024,11109.75033,73071254.19,757,0,10000,0,10000,0,10000,0,10000,0,0,0,0
115,1.00E-06,0,10000,1,23,0.065268057,0.001792391,0.033996022,0.00060763,9697.581395,65497740.85,434,1,457,0,10000,0,10000,0,10000,1,0,0,0
116,1.00E-06,1,930,1,21,0.0612116,0.001430417,0.03042312,0.000405395,11114.61752,90826647.6,906,0,10000,0,10000,0,10000,0,10000,0,0,0,0
117,1.00E-06,1,622,1,24,0.058115725,0.001264044,0.027401445,0.000372467,10863.29392,62080489.18,596,0,10000,0,10000,0,10000,0,10000,0,0,0,0
118,1.00E-06,1,39,1,23,0.169870322,0.005120587,0.099317467,0.001558076,1143.555556,422624.2469,13,0,10000,0,10000,0,10000,0,10000,0,0,0,0
119,1.00E-06,0,10000,1,24,0.065348639,0.002287547,0.033815372,0.000976417,9928.494002,57770966.76,921,1,945,0,10000,0,10000,0,10000,1,0,0,0
120,1.00E-06,0,10000,1,21,0.064970813,0.002196252,0.032420528,0.000721792,10868.73641,81360738.64,979,0,10000,0,10000,1,0.828463,0,10000,0,0,0,0
121,1.00E-06,0,10000,1,21,0.05464648,0.001963356,0.02777478,0.001071284,10573.77424,57429562.08,757,1,778,0,10000,0,10000,0,10000,1,0,0,0
122,1.00E-06,0,10000,1,23,0.109157445,0.015454874,0.05527155,0.003625722,6966.789063,39420375.9,132,1,155,0,10000,0,10000,0,10000,1,0,0,0
123,1.00E-06,1,283,1,23,0.063648708,0.001745792,0.032582218,0.000635158,11593.55906,117306122.9,258,0,10000,0,10000,0,10000,0,10000,0,0,0,0
124,1.00E-06,1,478,1,24,0.06794874,0.003339511,0.036084859,0.001905852,10498.79642,64665813.19,451,0,10000,0,10000,0,10000,0,10000,0,0,0,0
125,1.00E-06,1,338,1,21,0.060021789,0.002619049,0.028367094,0.00082901,10760.81613,49105468.72,314,0,10000,0,10000,0,10000,0,10000,0,0,0,0
126,1.00E-06,1,422,1,20,0.057710593,0.001719849,0.028606097,0.000474873,13136.99241,116502655.8,399,0,10000,0,10000,0,10000,0,10000,0,0,0,0
127,1.00E-06,1,777,1,20,0.0643207,0.001532522,0.031568074,0.000456954,9128.214667,48557278.38,754,0,10000,0,10000,0,10000,0,10000,0,0,0,0
128,1.00E-06,0,10000,1,24,0.073535308,0.002699453,0.038519992,0.001323479,7586.287671,31759778.98,369,1,393,0,10000,0,10000,0,10000,1,0,0,0
129,1.00E-06,1,329,1,23,0.060247012,0.001771621,0.03013754,0.000685305,11586.3612,68554677.42,303,0,10000,0,10000,0,10000,0,10000,0,0,0,0
