Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.005,159,1,334,1,56,0.112884066,0.034560764,1582.544118,932288.2775,276,0,10000,0,10000,0,10000,0.047452127
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,96,0,10000,0,10000,0.048288771
2,0.005,171,1,340,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.055959206
2,0.005,0,0,10000,1,131,0.011840475,1.70E-06,2737.875,26632.60938,12,1,143,0,10000,0,10000,0.05046139
2,0.005,149,1,593,1,297,0.171102107,0.016671496,580.5498282,53461.61521,295,0,10000,0,10000,0,10000,0.054058106
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,124,0,10000,0,10000,0.049807092
2,0.005,159,1,295,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.051836439
2,0.005,156,1,320,1,132,0.132072572,0.024054881,1123.863388,431884.8283,187,0,10000,0,10000,0,10000,0.061399344
2,0.005,160,1,300,1,189,0.179846268,0.02545605,733.9339623,180563.6088,110,0,10000,0,10000,0,10000,0.053822889
2,0.005,149,1,310,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.053580222
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,96,0,10000,0,10000,0.046119136
2,0.005,161,1,332,1,116,0.083390659,0.021972812,1609.047619,555464.5215,214,0,10000,0,10000,0,10000,0.058718004
2,0.005,165,1,314,1,37,0.08452376,0.01620559,1722.161765,929652.9665,276,0,10000,0,10000,0,10000,0.038773973
2,0.005,156,1,307,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.051711593
2,0.005,183,1,365,1,114,0.120815455,0.024289979,1145.093878,403501.4728,249,0,10000,0,10000,0,10000,0.059773845
2,0.0055,181,1,313,1,130,0.104927113,0.028878667,1387.140449,464646.6938,182,0,10000,0,10000,0,10000,0.054463037
2,0.0055,149,1,276,1,39,0.096803841,0.024902164,1715.030172,986408.9948,236,0,10000,0,10000,0,10000,0.059635074
2,0.0055,158,1,310,1,110,0.117165488,0.032019072,1286.430769,514733.876,199,0,10000,0,10000,0,10000,0.063162229
2,0.0055,133,1,293,1,208,0.236440435,0.062100172,671.725,193563.3494,84,0,10000,0,10000,0,10000,0.057162272
2,0.0055,150,1,288,1,155,0.163752612,0.031845365,842.2519685,194646.1097,131,0,10000,0,10000,0,10000,0.067115346
2,0.0055,144,1,286,1,65,0.089659571,0.0280924,1568.037037,756086.2857,220,0,10000,0,10000,0,10000,0.053292059
2,0.0055,157,1,606,1,321,0.289682757,0.016816459,301.575,25697.55152,284,0,10000,0,10000,0,10000,0.05350448
2,0.0055,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,19,0,10000,0,10000,0.05922265
2,0.0055,153,1,278,1,197,0.209398058,0.029063421,572.6973684,100721.6058,80,0,10000,0,10000,0,10000,0.05774918
2,0.0055,140,1,291,1,156,0.083675882,0.006863258,1102.307692,206665.7669,134,0,10000,0,10000,0,10000,0.061622349
2,0.0055,168,1,560,1,274,0.105917714,0.005714664,839.024911,49835.32678,285,0,10000,0,10000,0,10000,0.055204193
2,0.0055,148,1,278,1,96,0.108346826,0.026063791,1301.429379,455832.1998,181,0,10000,0,10000,0,10000,0.054823446
2,0.0055,127,1,271,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.059284427
2,0.0055,137,1,266,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.063754982
2,0.0055,162,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,277,0,10000,0,10000,0.053066704
2,0.0055,134,1,269,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.061151214
2,0.0055,179,1,311,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.057371389
2,0.0055,138,1,293,1,71,0.089792169,0.00964153,1440.460829,785264.2669,221,0,10000,0,10000,0,10000,0.056455576
2,0.0055,152,1,270,1,96,0.094892243,0.022957644,1491.571429,562063.0782,172,0,10000,0,10000,0,10000,0.058219442
2,0.0055,139,1,557,1,83,0.096124049,0.009316605,1135.333333,608623.6325,472,0,10000,0,10000,0,10000,0.048296962
2,0.006,135,1,243,1,30,0.070060312,0.01037003,1764.240385,865262.9422,212,0,10000,0,10000,0,10000,0.064622846
2,0.006,121,1,235,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.075178271
2,0.006,140,1,261,1,38,0.085285616,0.018256262,1693.788991,929773.4876,222,0,10000,0,10000,0,10000,0.070180812
2,0.006,131,1,249,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.072077073
2,0.006,118,1,267,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.066248269
2,0.006,139,1,287,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.06335477
2,0.006,121,1,250,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.064663079
2,0.006,130,1,249,1,57,0.093723816,0.029444559,1498.534759,696972.5696,191,0,10000,0,10000,0,10000,0.087048902
2,0.006,135,1,269,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.064206509
2,0.006,126,1,247,1,123,0.132580191,0.031580357,1146.82906,393964.3468,121,0,10000,0,10000,0,10000,0.069821802
2,0.006,120,1,258,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.06601335
2,0.006,134,1,264,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.063698801
2,0.006,130,1,275,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.06121302
2,0.006,121,1,245,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.068884467
2,0.006,107,1,241,1,190,0.270291583,0.035156592,411.6086957,52381.62949,50,0,10000,0,10000,0,10000,0.070898199
2,0.006,111,1,242,1,64,0.102354149,0.025724504,1668.982659,1163133.809,177,0,10000,0,10000,0,10000,0.071998353
2,0.006,133,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,258,0,10000,0,10000,0.061092742
2,0.006,116,1,240,1,49,0.114957897,0.029258545,1453.865591,774401.3959,190,0,10000,0,10000,0,10000,0.078062873
2,0.006,116,1,243,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.066572292
2,0.006,136,1,251,1,235,0.355606182,0.00420022,150.4545455,3136.247934,15,0,10000,0,10000,0,10000,0.067307055
2,0.0065,136,1,247,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.073035744
2,0.0065,120,1,231,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.075841595
2,0.0065,94,1,215,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.079612684
2,0.0065,100,1,203,1,87,0.110471917,0.0292364,1352.027027,509732.9452,115,0,10000,0,10000,0,10000,0.07250048
