,Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
1274,-0.7,0,0,10000,1,20,0.044613016,0.000397079,0.022068279,8.51E-05,6268.58709,6200134.035,980,0,10000,0,10000,1,0.820351,0,10000,0,0
1275,-0.7,0,0,10000,1,23,0.045620275,0.00047155,0.023016445,0.000107638,6327.669065,10082153.39,977,0,10000,0,10000,1,0.801678,0,10000,0,0
1276,-0.7,0,0,10000,1,25,0.048807855,0.00054595,0.025427663,0.000168359,6031.587024,9311355.272,975,0,10000,0,10000,1,0.794424,0,10000,0,0
1277,-0.7,0,0,10000,1,22,0.04282689,0.000351577,0.02092574,7.42E-05,6694.873717,8743814.17,978,0,10000,0,10000,1,0.673305,0,10000,0,0
1278,-0.7,0,0,10000,1,22,0.04478289,0.00048342,0.022529753,0.000117063,6422.091376,10452323.03,978,0,10000,0,10000,1,0.773671,0,10000,0,0
1279,-0.7,0,0,10000,1,21,0.044036595,0.000369924,0.021501915,7.35E-05,6513.24,8938871.854,979,0,10000,0,10000,1,0.663148,0,10000,0,0
1280,-0.7,0,0,10000,1,22,0.044357122,0.000366994,0.021772442,7.97E-05,6192.190965,5776305.692,978,0,10000,0,10000,1,0.649255,0,10000,0,0
1681,-0.6,0,0,10000,1,23,0.048818515,0.000821201,0.025962959,0.000338559,5897.394656,9005057.297,977,0,10000,0,10000,1,0.748068,0,10000,0,0
1682,-0.6,0,0,10000,1,23,0.04905473,0.000844347,0.026098932,0.000376873,5608.890031,7803123.931,977,0,10000,0,10000,1,0.620717,0,10000,0,0
1683,-0.6,0,0,10000,1,22,0.046186511,0.000503807,0.023915465,0.000124809,6224.49076,11416834.74,978,0,10000,0,10000,1,0.442342,0,10000,0,0
1684,-0.6,0,0,10000,1,23,0.048360744,0.000645008,0.024342101,0.000160996,6154.466598,8304135.893,977,0,10000,0,10000,1,0.821303,0,10000,0,0
1685,-0.6,0,0,10000,1,24,0.048049433,0.000462128,0.024681958,0.000130652,6254.151235,11524470.88,976,0,10000,0,10000,1,0.854297,0,10000,0,0
1686,-0.6,0,0,10000,1,24,0.046689126,0.000379104,0.023738678,0.000103839,5995.375514,6772188.619,976,0,10000,0,10000,1,0.691603,0,10000,0,0
1687,-0.6,0,0,10000,1,23,0.049706351,0.000711452,0.025650112,0.000201561,5967.821172,9076641.98,977,0,10000,0,10000,1,0.727183,0,10000,0,0
1688,-0.6,0,0,10000,1,22,0.045254147,0.000487479,0.023426695,0.000139168,6248.039014,10738965.29,978,0,10000,0,10000,1,0.764638,0,10000,0,0
1689,-0.6,0,0,10000,1,22,0.046109169,0.000487141,0.023434486,0.000126802,6083.980493,7296822.549,978,0,10000,0,10000,1,0.704872,0,10000,0,0
1690,-0.6,0,0,10000,1,22,0.04302486,0.000388274,0.021485537,7.83E-05,5943.228953,4699948.801,978,0,10000,0,10000,1,0.856762,0,10000,0,0
1691,-0.6,0,0,10000,1,21,0.04894506,0.000551923,0.024784897,0.000149641,5866.552821,7019121.271,979,0,10000,0,10000,1,0.756851,0,10000,0,0
1692,-0.6,0,0,10000,1,21,0.046224638,0.000470939,0.023586116,0.000108085,5931.956923,6255164.825,979,0,10000,0,10000,1,0.846238,0,10000,0,0
1693,-0.6,0,0,10000,1,21,0.04871977,0.000423383,0.024664466,9.87E-05,5974.761026,5688105.603,979,0,10000,0,10000,1,0.698447,0,10000,0,0
1694,-0.6,0,0,10000,1,22,0.048203869,0.000721821,0.02489496,0.000229118,6229.024641,13140505.77,978,0,10000,0,10000,1,0.683805,0,10000,0,0
1695,-0.6,0,0,10000,1,22,0.048584878,0.000546389,0.024447022,0.000116172,5980.501027,8484130.053,978,0,10000,0,10000,1,0.781259,0,10000,0,0
1696,-0.6,0,0,10000,1,23,0.048423558,0.0006525,0.024551093,0.000156575,6291.969168,11554790.23,977,0,10000,0,10000,1,0.821143,0,10000,0,0
1697,-0.6,0,0,10000,1,23,0.047737953,0.000542712,0.024624149,0.000178225,6597.974306,14567349.44,977,0,10000,0,10000,1,0.809969,0,10000,0,0
1698,-0.6,0,0,10000,1,23,0.046250273,0.000431763,0.023608572,0.000111441,6119.679342,8565232.312,977,0,10000,0,10000,1,0.736478,0,10000,0,0
1699,-0.6,0,0,10000,1,22,0.046223357,0.000483434,0.023088319,0.000103886,5947.822382,5531673.312,978,0,10000,0,10000,1,0.857191,0,10000,0,0
1700,-0.6,0,0,10000,1,22,0.046246896,0.000497905,0.023613127,0.000122981,6293.954825,11612314.45,978,0,10000,0,10000,1,0.842786,0,10000,0,0
2101,-0.5,0,0,10000,1,21,0.047156233,0.000476583,0.024223693,0.000126645,6108.421538,8390627.503,979,0,10000,0,10000,1,0.772031,0,10000,0,0
2102,-0.5,0,0,10000,1,22,0.049200002,0.000517318,0.025859871,0.000163024,5601.439425,6499260.448,978,0,10000,0,10000,1,0.716443,0,10000,0,0
2103,-0.5,0,0,10000,1,25,0.051601544,0.000737993,0.026264315,0.000171502,6105.283213,9757476.477,975,0,10000,0,10000,1,0.824634,0,10000,0,0
2104,-0.5,0,0,10000,1,22,0.052106633,0.000542672,0.02592426,0.000122022,6786.374743,14903339.31,978,0,10000,0,10000,1,0.824742,0,10000,0,0
2105,-0.5,0,0,10000,1,22,0.053558134,0.000763936,0.027376938,0.000192116,6178.814168,10306999.51,978,0,10000,0,10000,1,0.672797,0,10000,0,0
2106,-0.5,0,0,10000,1,25,0.045634538,0.000352832,0.023106646,9.13E-05,6120.699279,7190064.604,975,0,10000,0,10000,1,0.719426,0,10000,0,0
2107,-0.5,0,1,563,1,22,0.054104705,0.001838761,0.029046425,0.000881527,5872.24486,9004640.252,539,0,10000,0,10000,0,10000,0,10000,0,0
2108,-0.5,0,0,10000,1,22,0.046150713,0.000549777,0.024408772,0.000178815,6090.925051,9568535.201,978,0,10000,0,10000,1,0.684907,0,10000,0,0
2109,-0.5,0,0,10000,1,22,0.051717804,0.00090976,0.026656512,0.000280024,6097.568789,9227200.533,978,0,10000,0,10000,1,0.780759,0,10000,0,0
2110,-0.5,0,0,10000,1,22,0.054611614,0.000879373,0.028925576,0.000273921,5314.039014,6588437.528,978,0,10000,0,10000,1,0.71741,0,10000,0,0
2111,-0.5,0,0,10000,1,22,0.051635621,0.000742943,0.026920222,0.000218539,5998.399384,9997335.628,978,0,10000,0,10000,1,0.631312,0,10000,0,0
2112,-0.5,0,0,10000,1,23,0.047891036,0.000518376,0.024475294,0.000141108,6077.638232,10880407.61,977,0,10000,0,10000,1,0.741714,0,10000,0,0
2113,-0.5,0,0,10000,1,22,0.048598705,0.000540721,0.025724209,0.000163237,6000.198152,9327453.785,978,0,10000,0,10000,1,0.809762,0,10000,0,0
2114,-0.5,0,0,10000,1,23,0.050095149,0.000590128,0.026699075,0.000212104,5664.346351,7750723.793,977,0,10000,0,10000,1,0.829586,0,10000,0,0
2115,-0.5,0,0,10000,1,22,0.050972817,0.001029134,0.02638897,0.000307877,5796.767967,8320487.466,978,0,10000,0,10000,1,0.659321,0,10000,0,0
2116,-0.5,0,0,10000,1,22,0.048689663,0.000522849,0.025041209,0.000120144,5873.845996,7224172.559,978,0,10000,0,10000,1,0.612746,0,10000,0,0
2117,-0.5,0,0,10000,1,21,0.050269593,0.000521619,0.025578125,0.000134542,6109.506667,10138607.05,979,0,10000,0,10000,1,0.877878,0,10000,0,0
2118,-0.5,0,0,10000,1,21,0.053095731,0.000704212,0.028094082,0.000225991,5999.864615,10840621.08,979,0,10000,0,10000,1,0.67891,0,10000,0,0
2119,-0.5,0,0,10000,1,23,0.046716037,0.00042934,0.023927774,0.000105115,6142.280576,8538700.486,977,0,10000,0,10000,1,0.696148,0,10000,0,0
2120,-0.5,0,0,10000,1,22,0.048221779,0.000509708,0.025659727,0.000157194,5564.246407,7017379.761,978,0,10000,0,10000,1,0.814241,0,10000,0,0
2521,-0.4,0,0,10000,1,22,0.055216887,0.000919848,0.029309294,0.000308532,5895.276181,11027115.46,978,0,10000,0,10000,1,0.763484,0,10000,0,0
2522,-0.4,0,0,10000,1,26,0.055448836,0.001044162,0.030385039,0.000424858,5602.785567,12799424.57,974,0,10000,0,10000,1,0.641006,0,10000,0,0
2523,-0.4,0,0,10000,1,24,0.05685463,0.000970687,0.030394698,0.000315456,6706.906379,22850706.42,976,0,10000,0,10000,1,0.791473,0,10000,0,0
2524,-0.4,0,1,569,1,21,0.066552563,0.002500111,0.038240293,0.001240461,4949.396679,7044080.634,546,0,10000,0,10000,0,10000,0,10000,0,0
2525,-0.4,0,0,10000,1,26,0.051484111,0.000514191,0.027330135,0.00015372,5819.572165,8233278.81,974,0,10000,0,10000,1,0.47436,0,10000,0,0
2526,-0.4,0,0,10000,1,21,0.054532023,0.000972566,0.028664884,0.000321856,6007.123077,10408296.43,979,0,10000,0,10000,1,0.825946,0,10000,0,0
2527,-0.4,0,0,10000,1,22,0.054812014,0.000726748,0.029395927,0.000254819,5750.063655,14444129.93,978,0,10000,0,10000,1,0.826003,0,10000,0,0
2528,-0.4,0,0,10000,1,23,0.057530383,0.001307313,0.031105899,0.000421785,5737.765673,14064610.9,977,0,10000,0,10000,1,0.819108,0,10000,0,0
2529,-0.4,0,0,10000,1,21,0.053152757,0.000650445,0.028581557,0.00019831,5903.742564,14435159.89,979,0,10000,0,10000,1,0.802373,0,10000,0,0
2530,-0.4,0,0,10000,1,23,0.061329826,0.001267559,0.033148828,0.000492129,5211.938335,8606755.365,977,0,10000,0,10000,1,0.785245,0,10000,0,0
2531,-0.4,0,0,10000,1,21,0.054269916,0.000680946,0.028888076,0.000224788,5543.394872,6923811.472,979,0,10000,0,10000,1,0.451544,0,10000,0,0
2532,-0.4,0,1,933,1,26,0.052942744,0.000604843,0.028631282,0.000225773,5532.495006,8437906.598,905,0,10000,0,10000,0,10000,0,10000,0,0
2533,-0.4,0,0,10000,1,21,0.052723949,0.000620566,0.02821274,0.000160324,5280.140513,7061182.182,979,0,10000,0,10000,1,0.66826,0,10000,0,0
2534,-0.4,0,0,10000,1,21,0.052965316,0.000675931,0.027818,0.000208277,5701.594872,7986748.442,979,0,10000,0,10000,1,0.571343,0,10000,0,0
2535,-0.4,0,0,10000,1,24,0.053434099,0.000534303,0.028543605,0.000165367,5619.562757,9456174.359,976,0,10000,0,10000,1,0.852073,0,10000,0,0
2536,-0.4,0,0,10000,1,24,0.05299609,0.000696608,0.028656191,0.000254303,5709.941358,13293655.75,976,0,10000,0,10000,1,0.794959,0,10000,0,0
2537,-0.4,0,0,10000,1,22,0.060323559,0.001532893,0.033590266,0.000718257,5851.907598,15279517.83,978,0,10000,0,10000,1,0.808161,0,10000,0,0
2538,-0.4,0,0,10000,1,24,0.053710202,0.000539621,0.029124443,0.000174232,5120.366255,6650726.508,976,0,10000,0,10000,1,0.796198,0,10000,0,0
2539,-0.4,0,0,10000,1,22,0.053870665,0.000624122,0.028045181,0.000149593,5376.032854,6698612.502,978,0,10000,0,10000,1,0.720878,0,10000,0,0
2540,-0.4,0,0,10000,1,22,0.053482264,0.00051118,0.026989166,0.000127101,6686.530801,11630910.74,978,0,10000,0,10000,1,0.721306,0,10000,0,0
2941,-0.3,0,0,10000,1,23,0.056359712,0.000744861,0.031105355,0.000278858,5955.02261,15162996.53,977,0,10000,0,10000,1,0.693077,0,10000,0,0
2942,-0.3,0,1,148,1,23,0.079451788,0.004120406,0.048241158,0.002295435,6772.12605,48291250.01,123,0,10000,0,10000,0,10000,0,10000,0,0
2943,-0.3,0,0,10000,1,22,0.062042968,0.001123239,0.034514926,0.000426149,5336.779261,9036663.252,978,0,10000,0,10000,1,0.718568,0,10000,0,0
2944,-0.3,0,0,10000,1,22,0.059384321,0.000942087,0.033037044,0.000366939,5332.444559,11814135.5,978,0,10000,0,10000,1,0.732279,0,10000,0,0
2945,-0.3,0,0,10000,1,25,0.054104767,0.000769462,0.02884074,0.000215597,6070.993821,16764695.18,975,0,10000,0,10000,1,0.705571,0,10000,0,0
2946,-0.3,0,0,10000,1,22,0.055181292,0.00070208,0.029138665,0.000204978,5838.445585,11584566.66,978,0,10000,0,10000,1,0.77413,0,10000,0,0
2947,-0.3,0,0,10000,1,23,0.057532428,0.000682332,0.03065309,0.000192398,5460.879753,8466560.159,977,0,10000,0,10000,1,0.720378,0,10000,0,0
2948,-0.3,0,0,10000,1,20,0.058358178,0.000844336,0.031107454,0.000277131,6136.396516,15989242.22,980,0,10000,0,10000,1,0.850013,0,10000,0,0
2949,-0.3,0,0,10000,1,23,0.053380868,0.000639139,0.028566185,0.000204406,5704.526208,8727409.365,977,0,10000,0,10000,1,0.382201,0,10000,0,0
2950,-0.3,0,0,10000,1,22,0.059452892,0.001018998,0.032638111,0.00035598,6145.223819,20101800.28,978,0,10000,0,10000,1,0.751037,0,10000,0,0
2951,-0.3,0,0,10000,1,22,0.061290394,0.001476798,0.035089447,0.000746411,5659.047228,18365322.33,978,0,10000,0,10000,1,0.798817,0,10000,0,0
2952,-0.3,0,0,10000,1,22,0.059346644,0.001052835,0.031301564,0.000305148,5406.398357,8011875.383,978,0,10000,0,10000,1,0.742917,0,10000,0,0
2953,-0.3,0,1,306,1,21,0.069533813,0.00331743,0.041075494,0.00187558,5762.971326,18187300.97,283,0,10000,0,10000,0,10000,0,10000,0,0
2954,-0.3,0,0,10000,1,22,0.056868841,0.000940191,0.030727988,0.000283144,6196.125257,17162503.23,978,0,10000,0,10000,1,0.589727,0,10000,0,0
2955,-0.3,0,0,10000,1,21,0.056945188,0.000752827,0.030951507,0.000260421,5721.631795,19476263.49,979,0,10000,0,10000,1,0.83865,0,10000,0,0
2956,-0.3,0,0,10000,1,22,0.057427704,0.000784165,0.030433213,0.000232117,5690.2577,9850011.027,978,0,10000,0,10000,1,0.739414,0,10000,0,0
2957,-0.3,0,0,10000,1,22,0.059027823,0.000802638,0.032258438,0.000281049,5541.648871,11435615.58,978,0,10000,0,10000,1,0.830059,0,10000,0,0
